iter	Logloss
0	0.6261942159
1	0.5716956509
2	0.5263481194
3	0.4883472504
4	0.4563827951
5	0.429181908
6	0.4057035957
7	0.385632906
8	0.3686131693
9	0.3537466552
10	0.3353784541
11	0.3198334816
12	0.3064292179
13	0.2948350895
14	0.2847070295
15	0.2758630128
16	0.2681187446
17	0.2613229046
18	0.2554169751
19	0.2503586837
20	0.2458997549
21	0.241839231
22	0.2382272991
23	0.2350119121
24	0.2323602787
25	0.2299882017
26	0.2278595206
27	0.2258421428
28	0.2242505132
29	0.2229174006
30	0.2215235686
31	0.2202542429
32	0.2193608374
33	0.2183370701
34	0.2174534744
35	0.2166656689
36	0.2158346546
37	0.2151963701
38	0.2146510293
39	0.2141258031
40	0.2136225655
41	0.2132690519
42	0.2128860337
43	0.2125725688
44	0.21220376
45	0.21183682
46	0.2117725394
47	0.2115309881
48	0.2112061406
49	0.2110071671
50	0.2108054166
51	0.2106034689
52	0.2104865991
53	0.210380666
54	0.2102048042
55	0.2100485728
56	0.2099360429
57	0.209802316
58	0.2096758869
59	0.209490689
60	0.2093910575
61	0.2092886853
62	0.209188209
63	0.2090814725
64	0.2090813927
65	0.2090373069
66	0.2089795396
67	0.2089435985
68	0.2089111177
69	0.2089099268
70	0.2089086256
71	0.2088213679
72	0.2087933969
73	0.2087715406
74	0.20876923
75	0.2087329707
76	0.208705785
77	0.2086780067
78	0.2086775653
79	0.2086548402
80	0.2086351059
81	0.2086351003
82	0.2086105807
83	0.2085493086
84	0.2085348067
85	0.2085347964
86	0.2084821719
87	0.2084821497
88	0.208434619
89	0.2084340393
90	0.2084237967
91	0.2084130127
92	0.2083986255
93	0.2083986232
94	0.2083898902
95	0.2083898626
96	0.2083882646
97	0.2083854785
98	0.2083852576
99	0.2083766995
