iter	Passed	Remaining
0	113	11257
1	141	6942
2	201	6508
3	240	5770
4	294	5588
5	316	4953
6	361	4799
7	402	4626
8	447	4524
9	478	4302
10	509	4119
11	546	4011
12	590	3948
13	634	3897
14	666	3776
15	694	3647
16	727	3552
17	777	3541
18	802	3419
19	856	3424
20	903	3398
21	966	3425
22	1001	3353
23	1040	3296
24	1076	3229
25	1125	3202
26	1285	3474
27	1388	3570
28	1430	3503
29	1487	3469
30	1530	3406
31	1611	3424
32	1663	3377
33	1693	3286
34	1731	3214
35	1767	3141
36	1801	3068
37	1840	3002
38	1882	2945
39	1946	2919
40	1980	2850
41	2007	2771
42	2043	2709
43	2074	2640
44	2106	2574
45	2158	2534
46	2183	2462
47	2233	2419
48	2275	2368
49	2319	2319
50	2380	2286
51	2408	2223
52	2465	2186
53	2542	2165
54	2616	2140
55	2684	2109
56	2749	2074
57	2819	2041
58	2866	1991
59	2917	1944
60	2953	1888
61	3003	1840
62	3066	1801
63	3107	1748
64	3137	1689
65	3176	1636
66	3227	1589
67	3274	1540
68	3294	1479
69	3356	1438
70	3398	1388
71	3454	1343
72	3512	1299
73	3549	1247
74	3568	1189
75	3633	1147
76	3699	1104
77	3790	1068
78	3840	1020
79	3932	983
80	4003	939
81	4111	902
82	4146	849
83	4273	814
84	4370	771
85	4434	721
86	4515	674
87	4649	634
88	4913	607
89	5083	564
90	5331	527
91	5354	465
92	5455	410
93	5571	355
94	5608	295
95	5654	235
96	5686	175
97	5741	117
98	5769	58
99	5809	0
